怪物id,怪物类型,怪物名称,怪物等级,怪物血条数量,怪物头像,怪物模型,属性,绝对生命值（每次受到伤害只扣除1点生命值）,属性,属性,属性,血条位置,模型百分比,能否被击退,AI类型,心跳
230019,4,火龙王·12转,150,2,343,4606,307400000,0,92193,0,0,300,80,,6,100
220001,4,狂血战魔·1转,80,4,360,4621,14820080,0,29347,0,0,215,115,,1,100
220002,4,镇魔妖王·1转,80,4,369,4629,14820080,0,29347,0,0,280,120,,1,100
220003,4,深海巨魔·2转,90,4,363,4624,22147840,0,37854,0,0,260,100,,1,100
220005,4,雷炎蜘蛛·3转,100,4,347,4610,28677000,0,46361,0,0,225,100,,3,100
220007,4,亡灵主宰·4转,105,4,366,4627,47306160,0,54868,0,0,270,110,,1,100
220009,4,禁地魔王·5转,110,8,346,4609,65330320,0,63375,0,0,240,95,,3,100
220011,4,铁血魔王·6转,115,8,365,4626,89056000,0,71882,0,0,300,100,,1,100
220013,4,狂血战魔·7转,120,8,360,4621,167454320,0,80389,0,0,215,115,,1,100
220015,4,深海巨魔·8转,125,8,363,4624,209330000,0,88896,0,0,260,100,,1,100
220017,4,雷炎蜘蛛·9转,130,12,347,4610,275754160,0,97403,0,0,225,100,,3,100
220019,4,亡灵主宰·10转,135,12,366,4627,305529840,0,105910,0,0,270,110,,1,100
220021,4,禁地魔王·11转,140,12,346,4609,371954000,0,114417,0,0,240,95,,3,100
220024,4,火龙王·12转,145,12,343,4606,490050000,0,122924,0,0,300,80,,1,100
220004,4,蛇妖王·2转,90,4,352,4615,22147840,0,37854,0,0,260,130,,1,100
220006,4,炼狱巨魔·3转,100,4,348,4611,28677000,0,46361,0,0,250,120,,1,100
220008,4,暗之雪域魔王·5转,105,4,355,4691,163325800,0,54868,0,0,245,120,,1,100
220010,4,暗之阿修罗神·5转,110,8,357,4619,163325800,0,63375,0,0,280,110,,3,100
220012,4,暗之火龙王·6转,115,8,343,4606,222640000,0,71882,0,0,300,80,,6,100
220014,4,暗之镇魔妖王·7转,120,8,369,4629,418635800,0,80389,0,0,280,120,,1,100
220016,4,暗之蛇妖王·8转,125,8,352,4615,523325000,0,88896,0,0,260,130,,1,100
220018,4,暗之炼狱巨魔·9转,130,12,348,4611,689385400,0,97403,0,0,250,120,,1,100
220020,4,暗之凛冬教主·10转,135,12,349,4612,763824600,0,105910,0,0,280,120,,1,100
220022,4,暗之阿修罗神·11转,140,12,357,4619,929885000,0,114417,0,0,280,110,,3,100
220023,4,暗之铁血魔王·12转,145,12,365,4626,1255369600,0,122924,0,0,300,100,,1,100
240001,4,狂血战魔·1转,80,2,360,4621,19168358,0,44020,0,0,215,115,,1,100
240002,4,镇魔妖王·2转,90,5,369,4629,36567858,0,56781,0,0,280,120,,1,100
240003,4,深海巨魔·3转,100,5,363,4624,64486274,0,69541,0,0,260,100,,1,100
240004,4,蛇妖王·4转,105,10,352,4615,81001812,0,82302,0,0,260,130,,1,100
240005,4,雷炎蜘蛛·5转,110,10,347,4610,119883938,0,95062,0,0,225,100,,3,100
240006,4,炼狱巨魔·6转,115,10,348,4611,156129090,0,107823,0,0,250,120,,1,100
240007,4,亡灵主宰·7转,120,1,366,4627,198954714,0,120583,0,0,270,110,,1,100
240008,4,雪域魔王·8转,125,1,355,4691,276784000,0,133344,0,0,245,120,,1,100
240009,4,禁地魔王·9转,130,5,346,4609,346000000,0,146104,0,0,240,95,,3,100
240010,4,阿修罗神·10转,135,5,357,4619,455792000,0,158865,0,0,280,110,,3,100
240011,4,铁血魔王·11转,140,10,365,4626,505008000,0,171625,0,0,300,100,,1,100
240012,4,炼狱巨魔·12转,145,10,348,4611,614800000,0,184386,0,0,250,120,,1,100
200001,4,尸王,80,1,364,4625,111660,0,250,0,0,220,110,,6,100
200002,4,沃玛教主,90,1,353,4687,254522,0,500,0,0,220,95,,5,100
200003,4,触龙神,100,1,340,4603,452483,0,1600,0,0,240,95,,6,100
200004,4,白猪王,105,1,338,4601,970802,0,3350,0,0,240,100,,5,100
200005,4,祖玛教主,110,2,370,4699,1920000,0,5133,0,0,240,110,,5,100
200006,4,赤月恶魔,115,2,339,4602,3400000,0,6166,0,0,210,100,,5,100
200007,4,黄泉教主,120,2,358,4656,7888000,0,10420,0,0,225,100,,5,100
200008,4,牛魔王,125,4,362,4683,12248000,0,14673,0,0,240,125,,5,100
200009,4,虹魔教主,130,4,342,4653,18304000,0,18927,0,0,260,110,,5,100
200010,4,蛇妖王,135,4,352,4615,23700000,0,23180,0,0,260,130,,5,100
200011,4,魔龙教主,140,4,361,4622,39096000,0,27434,0,0,260,105,,5,100
200012,4,火尾黑狐王,145,8,344,4607,53992000,0,31687,0,0,240,130,,5,100
200013,4,金爪赤狐王,80,8,345,4608,73600000,0,35941,0,0,240,130,,5,100
200014,4,玉面素狐王,90,8,367,4628,108496000,0,40194,0,0,230,130,,5,100
200015,4,雷炎蜘蛛,100,8,347,4610,138392000,0,44448,0,0,225,100,,5,100
200016,4,炼狱巨魔,105,12,348,4611,173000000,0,48701,0,0,250,120,,5,100
200017,4,雪域魔王,110,12,355,4691,227896000,0,52955,0,0,245,120,,5,100
200018,4,禁地魔王,115,12,346,4609,252504000,0,57208,0,0,240,95,,5,100
200019,4,火龙王,120,12,343,4606,307400000,0,61462,0,0,300,80,,6,100
200020,4,亡灵主宰,125,12,366,4627,405000000,0,65715,0,0,270,110,,5,100
200021,4,阿修罗神,130,12,357,4619,512000000,0,69969,0,0,280,110,,6,100
200022,4,铁血魔王,135,12,365,4626,618000000,0,74222,0,0,300,100,,6,100
270001,4,魂·玉狐王·7转,85,2,362,4628,164137639,0,88426,0,0,240,125,,2,100
270002,4,魂·灭魔王·7转,95,2,342,4721,164137639,0,88426,0,0,260,110,,2,100
270003,4,魂·伏海魔·8转,110,5,352,4717,228346800,0,102233,0,0,260,130,,2,100
270004,4,魂·巨鹰怪·8转,120,5,361,4718,228346800,0,102233,0,0,260,105,,2,100
270005,4,魂·鹿角兽·9转,130,5,344,4720,285450000,0,117142,0,0,240,130,,2,100
270006,4,魂·魔龙兽·9转,150,5,345,4722,285450000,0,117142,0,0,240,130,,2,100
270007,4,魂·炼狱魔·10转,150,5,367,4719,376028400,0,126501,0,0,230,130,,2,100
270008,4,魂·双头龙·10转,150,5,347,4723,376028400,0,126501,0,0,225,100,,2,100
270009,4,魂·冰凤凰·11转,150,10,348,4724,416631600,0,135857,0,0,250,120,,2,100
270010,4,魂·守护者·11转,150,10,355,4725,416631600,0,135857,0,0,245,120,,2,100
270011,4,魂·邪魔神·12转,150,10,346,4715,507210000,0,145216,0,0,240,95,,2,100
270012,4,魂·飞龙将·12转,150,2,343,4716,507210000,0,145216,0,0,300,80,,2,100
260001,4,禁地魔王,130,5,346,4609,161313136,0,44020,0,0,240,95,,3,100
260002,4,阿修罗神,135,8,357,4619,313417027,0,56781,0,0,280,110,,3,100
260003,4,铁血魔王,140,10,365,4626,1399026908,0,69541,0,0,300,100,,1,100
260005,4,雷霆教主,130,5,353,4701,161313136,0,44020,0,0,240,95,,3,100
260006,4,巫妖王,135,8,354,4617,313417027,0,56781,0,0,280,110,,1,100
80001,5,泥沼魔人,100,1,368,4694,720,2,1,0,0,0,0,,2,100
80002,5,触龙邪神,100,1,340,4603,720,2,1,0,0,240,95,,2,100
80003,5,沃玛教主,100,1,324,4076,720,2,1,0,0,190,,,2,100
80004,5,海岬怪,100,1,238,4007,720,2,1,0,0,140,,,2,100
80005,5,雪域魔王,100,1,355,4691,720,2,1,0,0,245,120,,2,100
80006,5,火龙王,100,1,258,4145,720,2,1,0,0,190,,,6,100
80007,5,魔龙教主,100,1,265,4673,720,2,1,0,0,280,125,,2,100
80008,5,火尾黑狐王·中级,100,1,344,4607,900,2,1,0,0,240,130,,2,100
80009,5,金爪赤狐王·中级,100,1,345,4608,900,2,1,0,0,240,130,,3,100
80010,5,虹魔教主·中级,100,1,342,4653,900,2,1,0,0,260,110,,2,100
80011,5,寒荒海兽·中级,100,2,341,4604,900,2,1,0,0,260,100,,2,100
80012,5,黄泉教主·中级,100,2,294,4656,900,2,1,0,0,225,100,,3,100
80013,5,魔龙教主·高级,100,2,265,4673,1080,2,1,0,0,280,125,,2,100
80014,5,炼狱巨魔·高级,100,2,291,4033,1080,2,1,0,0,220,,,2,100
80015,5,蚁后·高级,100,2,328,4131,1080,2,1,0,0,160,,,2,100
70001,4,轮回·赤月恶魔,80,2,349,4602,222222222,0,29347,0,0,210,100,,6,100
70002,4,轮回·赤月恶魔,80,2,349,4602,470588235,0,37854,0,0,210,100,,6,100
70003,4,轮回·赤月恶魔,80,2,349,4602,625000000,0,46361,0,0,210,100,,6,100
70004,4,轮回·赤月恶魔,80,2,349,4602,800000000,0,54868,0,0,210,100,,6,100
70005,4,轮回·赤月恶魔,80,2,349,4602,871428571,0,63375,0,0,210,100,,6,100
70006,4,轮回·赤月恶魔,80,3,349,4602,953846153,0,71882,0,0,210,100,,6,100
70007,4,轮回·赤月恶魔,80,3,349,4602,1050000000,0,80389,0,0,210,100,,6,100
70008,4,轮回·寒荒海兽,90,3,256,4604,1163636363,0,88896,0,0,260,100,,2,100
70009,4,轮回·寒荒海兽,90,3,256,4604,1300000000,0,97403,0,0,260,100,,2,100
70010,4,轮回·寒荒海兽,90,3,256,4604,1320000000,0,105910,0,0,260,100,,2,100
70011,4,轮回·寒荒海兽,90,4,256,4604,1340000000,0,114417,0,0,260,100,,2,100
70012,4,轮回·寒荒海兽,90,4,256,4604,1360000000,0,122924,0,0,260,100,,2,100
70013,4,轮回·寒荒海兽,90,4,256,4604,1380000000,0,131431,0,0,260,100,,2,100
70014,4,轮回·寒荒海兽,90,4,256,4604,1400000000,0,139938,0,0,260,100,,2,100
70015,4,轮回·魔龙教主,105,4,256,4622,1420000000,0,148445,0,0,260,105,,2,100
70016,4,轮回·魔龙教主,105,5,256,4622,1440000000,0,156952,0,0,260,105,,2,100
70017,4,轮回·魔龙教主,105,5,256,4622,1460000000,0,165459,0,0,260,105,,2,100
70018,4,轮回·魔龙教主,105,5,256,4622,1480000000,0,173966,0,0,260,105,,2,100
70019,4,轮回·魔龙教主,105,5,256,4622,1500000000,0,182473,0,0,260,105,,2,100
70020,4,轮回·魔龙教主,105,5,256,4622,1520000000,0,190980,0,0,260,105,,2,100
70021,4,轮回·魔龙教主,105,6,256,4622,1540000000,0,199487,0,0,260,105,,2,100
70022,4,轮回·炼狱巨魔,115,6,346,4034,1625000000,0,207994,0,0,250,,,2,100
70023,4,轮回·炼狱巨魔,115,6,346,4034,1717391304,0,216501,0,0,250,,,2,100
70024,4,轮回·炼狱巨魔,115,6,346,4034,1818181818,0,225008,0,0,250,,,2,100
70025,4,轮回·炼狱巨魔,115,6,346,4034,1928571428,0,233515,0,0,250,,,2,100
70026,4,轮回·炼狱巨魔,115,7,346,4034,2050000000,0,242022,0,0,250,,,2,100
70027,4,轮回·炼狱巨魔,115,7,346,4034,2184210526,0,250529,0,0,250,,,2,100
70028,4,轮回·炼狱巨魔,115,7,346,4034,2333333333,0,259036,0,0,250,,,2,100
70029,4,轮回·凛冬教主,125,7,256,4612,2500000000,0,267543,0,0,280,110,,2,100
70030,4,轮回·凛冬教主,125,7,256,4612,2687500000,0,276050,0,0,280,110,,2,100
70031,4,轮回·凛冬教主,125,8,256,4612,2900000000,0,284557,0,0,280,110,,2,100
70032,4,轮回·凛冬教主,125,8,256,4612,3142857142,0,293064,0,0,280,110,,2,100
70033,4,轮回·凛冬教主,125,8,256,4612,3423076923,0,301571,0,0,280,110,,2,100
70034,4,轮回·凛冬教主,125,8,256,4612,3750000000,0,310078,0,0,280,110,,2,100
70035,4,轮回·凛冬教主,125,8,256,4612,4136363636,0,318585,0,0,280,110,,2,100
70036,4,轮回·禁地魔王,135,9,256,4609,4600000000,0,327092,0,0,240,95,,3,100
70037,4,轮回·禁地魔王,135,9,256,4609,5166666666,0,335599,0,0,240,95,,3,100
70038,4,轮回·禁地魔王,135,9,256,4609,5875000000,0,344106,0,0,240,95,,3,100
70039,4,轮回·禁地魔王,135,9,256,4609,6785714285,0,352613,0,0,240,95,,3,100
70040,4,轮回·禁地魔王,135,9,256,4609,8000000000,0,361120,0,0,240,95,,3,100
70041,4,轮回·禁地魔王,135,10,256,4609,9700000000,0,369627,0,0,240,95,,3,100
100001,1,见习弓箭手,30,1,266,4557,6000,0,30,0,0,,,,,
100002,1,见习弓箭手,30,1,336,4557,6000,0,30,0,0,,,,,
100003,1,弓箭手卫士,30,1,253,4643,6000,0,30,0,0,,,,,
100004,1,祖玛弓箭手,30,1,334,4543,6000,0,30,0,0,150,,,,
100005,1,宝物守卫者,30,1,339,4663,24000,0,30,0,0,200,,,,
100011,1,练功柱,40,1,329,4708,9000,0,30,0,0,,,,,
100012,1,练功柱,40,1,273,4708,9000,0,30,0,0,,,,,
100013,1,练功柱,40,1,239,4708,9000,0,30,0,0,,,,,
100014,1,练功柱,40,1,336,4708,9000,0,30,0,0,,,,,
100015,2,练功柱,40,1,355,4708,36000,0,30,0,0,190,,,,
100021,1,狐月虎虫,50,1,324,4564,12000,0,30,0,0,,,,,
100022,1,狐月角虫,50,1,288,4565,12000,0,30,0,0,,,,,
100023,1,赤狐,50,1,330,4553,12000,0,30,0,0,,,,,
100024,1,素狐,50,1,370,4523,12000,0,30,0,0,,,,,
100025,2,火尾黑狐王,50,1,300,4607,48000,0,30,0,0,230,,,,
100031,1,监工喽啰,40,1,283,4711,3000,0,30,0,0,,,,,
100032,1,监工喽啰,40,1,362,4711,3000,0,30,0,0,,,,,
100033,1,监工头目,40,1,335,4712,3000,0,30,0,0,,,,,
100034,1,监工统领,40,1,328,4713,3000,0,30,0,0,,,,,
100035,1,监工将军,40,1,355,4714,10000,0,30,0,0,190,,,,
100041,1,魔神修罗,10,1,,4594,250000,0,30,0,0,180,,,,
100042,1,魔神修罗,10,1,,4594,250000,0,30,0,0,180,,,,
100043,1,黑袍修罗,10,1,,4560,250000,0,30,0,0,180,,,,
100044,1,黑袍修罗,10,1,,4560,250000,0,30,0,0,180,,,,
100045,2,阿修罗神,10,1,,4619,1000000,0,30,0,0,,,,3,
100051,1,金杖蜘蛛,50,1,239,4570,18000,0,30,0,0,,,,,
100052,1,巨镰蜘蛛,50,1,336,4571,18000,0,30,0,0,,,,,
100053,1,金杖蜘蛛,50,1,278,4570,18000,0,30,0,0,,,,,
100054,1,巨镰蜘蛛,50,1,281,4571,18000,0,30,0,0,,,,,
100055,2,雷炎蛛王,50,1,300,4610,72000,0,30,0,0,225,,,,
150001,1,精英·僵尸,60,1,,4569,60000,0,30,0,0,,120,,,
150002,1,僵尸,50,1,,4569,20000,0,30,0,0,,,,,
150003,1,精英·僵尸,60,1,,4569,60000,0,30,0,0,,120,,,
150004,1,僵尸,50,1,,4569,20000,0,30,0,0,,,,,
150005,1,精英·跳跳蜂,60,1,,4525,60000,0,30,0,0,,120,,,
150006,1,跳跳蜂,50,1,,4525,20000,0,30,0,0,,,,,
150007,1,精英·蜈蚣,60,1,,4084,60000,0,30,0,0,,120,,,
150008,1,蜈蚣,50,1,,4084,20000,0,30,0,0,,,,,
150009,1,精英·沃玛护卫,60,1,,4686,60000,0,30,0,0,,120,,,
150010,1,沃玛护卫,50,1,,4686,20000,0,30,0,0,,,,,
150011,1,精英·沃玛勇士,60,1,,4688,60000,0,30,0,0,,120,,,
150012,1,沃玛勇士,50,1,,4688,20000,0,30,0,0,,,,,
150013,1,精英·飞蛾,60,1,,4531,60000,0,30,0,0,,120,,,
150014,1,飞蛾,50,1,,4531,20000,0,30,0,0,,,,,
150015,1,精英·红野猪,60,1,,4562,60000,0,30,0,0,,120,,,
150016,1,红野猪,50,1,,4562,20000,0,30,0,0,,,,,
150017,1,精英·祖玛卫士,60,1,,4700,60000,0,30,0,0,,120,,,
150018,1,祖玛卫士,50,1,,4700,20000,0,30,0,0,,,,,
150019,1,精英·祖玛雕像,60,1,,4697,60000,0,30,0,0,,120,,,
150020,1,祖玛雕像,50,1,,4697,20000,0,30,0,0,,,,,
150021,1,精英·毒眼蜘蛛,60,1,234,4550,60000,0,30,0,0,,120,,,
150022,1,毒眼蜘蛛,50,1,234,4550,20000,0,30,0,0,,,,,
150023,1,精英·血巨人,60,1,,4533,60000,0,30,0,0,,120,,,
150024,1,血巨人,50,1,,4533,20000,0,30,0,0,,,,,
150025,1,精英·牛魔斗士,60,1,,4678,60000,0,30,0,0,,120,,,
150026,1,牛魔斗士,50,1,,4678,20000,0,30,0,0,,,,,
150027,1,精英·牛魔战士,60,1,,4684,60000,0,30,0,0,,120,,,
150028,1,牛魔战士,50,1,,4684,20000,0,30,0,0,,,,,
150029,1,精英·骨鱼,60,1,204,4117,60000,0,30,0,0,,120,,,
150030,1,骨鱼,50,1,204,4117,20000,0,30,0,0,,,,,
150031,1,精英·绿色小鱼怪,60,1,,4122,60000,0,30,0,0,,120,,,
150032,1,绿色小鱼怪,50,1,,4122,20000,0,30,0,0,,,,,
150033,1,精英·冰宫枪兵,60,1,218,4536,60000,0,30,0,0,,120,,,
150034,1,冰宫枪兵,50,1,218,4536,20000,0,30,0,0,,,,,
150035,1,精英·冰宫战将,60,1,217,4693,60000,0,30,0,0,,120,,,
150036,1,冰宫战将,50,1,217,4693,20000,0,30,0,0,,,,,
150037,1,精英·狂热火蜥蜴,60,1,,4580,60000,0,30,0,0,,120,,,
150038,1,狂热火蜥蜴,50,1,,4580,20000,0,30,0,0,,,,,
150039,1,精英·金杖蜘蛛,60,1,213,4570,60000,0,30,0,0,,120,,,
150040,1,金杖蜘蛛,50,1,213,4570,20000,0,30,0,0,,,,,
150041,1,精英·素狐,60,1,228,4523,60000,0,30,0,0,,120,,,
150042,1,素狐,50,1,228,4523,20000,0,30,0,0,,,,,
150043,1,精英·狐月角虫,60,1,,4565,60000,0,30,0,0,,120,,,
150044,1,狐月角虫,50,1,,4565,20000,0,30,0,0,,,,,
210001,4,禁地魔王,80,2,346,4609,10000000000,0,1000,0,0,240,95,,3,100
210002,4,亡灵主宰,80,2,366,4627,10000000000,0,1000,0,0,270,110,,2,100
210003,4,阿修罗神,80,2,357,4619,10000000000,0,1000,0,0,280,110,,3,100
210004,4,铁血魔王,80,2,365,4626,10000000000,0,1000,0,0,300,100,,2,100
210005,4,火龙王,80,2,343,4606,10000000000,0,1000,0,0,300,80,,6,100
270013,5,骷髅锤兵,100,3,396,4661,35769600,0,85000,0,0,225,,,3,100
270014,5,骷髅精灵,100,3,398,4664,47692800,0,85000,0,0,225,,,3,100
270015,5,黄泉教主,100,3,358,4656,59616000,0,85000,0,0,225,,,3,100
270016,1,骷髅兵,100,1,395,4660,2384640,0,42500,0,0,120,100,,1,100
270017,1,骷髅刀斧手,100,1,397,4662,3576960,0,42500,0,0,120,100,,1,100
270018,1,骷髅战士,100,1,399,4665,4769280,0,42500,0,0,120,100,,1,100
270019,1,僵尸,100,1,383,4569,4769280,0,96320,0,0,120,100,,1,100
270020,1,白色恶猪,100,1,330,4631,4769280,0,96320,0,0,120,100,,1,100
270021,5,尸王,100,3,364,4625,124200000,0,96320,0,0,225,,,3,100
270022,5,白猪王,100,3,338,4601,248400000,0,192640,0,0,225,,,3,100
270024,5,沃玛教主,100,3,353,4701,670680000,0,162857,0,0,225,,,3,100
270025,1,红魔蜘蛛,100,1,215,4703,14904000,0,212800,0,0,120,100,,1,100
270026,1,绿魔蜘蛛,100,1,214,4704,14904000,0,212800,0,0,120,100,,1,100
270027,5,金杖蜘蛛,100,3,213,4570,403650000,0,212800,0,0,225,140,,3,100
270028,5,巨镰蜘蛛,100,3,347,4610,745200000,0,425600,0,0,225,,,3,100
270029,5,虹魔主教,100,3,342,4605,1117800000,0,271428,0,0,225,,,3,100
270031,5,战舰龙王,100,3,335,4118,419175000,0,705000,0,0,225,,,3,100
270032,5,寒荒海兽,100,3,341,4604,558900000,0,705000,0,0,225,,,3,100
270033,5,深海巨魔,100,3,363,4624,698625000,0,705000,0,0,225,,,3,100
270034,1,骨虾,100,1,204,4117,27945000,0,352500,0,0,120,100,,1,100
270035,1,寄居蟹,100,1,203,4119,41917500,0,352500,0,0,120,100,,1,100
270036,1,金甲蛙,100,1,201,4124,55890000,0,352500,0,0,120,100,,1,100
270037,1,素狐,100,1,228,4523,37260000,0,481600,0,0,120,100,,1,100
270038,1,赤狐,100,1,229,4553,37260000,0,481600,0,0,120,100,,1,100
270039,5,金爪赤狐王,100,3,298,4608,931500000,0,481600,0,0,225,,,3,100
270040,5,玉面素狐王,100,3,367,4628,1863000000,0,963200,0,0,225,,,3,100
270042,5,牛魔王,100,3,362,4683,2794500000,0,678571,0,0,225,,,3,100
270043,5,骷髅锤兵,100,3,396,4661,1676700000,0,1410000,0,0,225,120,,3,100
270044,5,骷髅精灵,100,3,398,4664,2235600000,0,1410000,0,0,225,120,,3,100
270045,5,黄泉教主,100,3,358,4656,2794500000,0,1410000,0,0,225,,,3,100
270046,1,骷髅兵,100,1,395,4660,83835000,0,705000,0,0,120,100,,1,100
270047,1,骷髅刀斧手,100,1,397,4662,125752500,0,705000,0,0,120,100,,1,100
270048,1,骷髅战士,100,1,399,4665,167670000,0,705000,0,0,120,100,,1,100
270049,1,沃玛勇士,100,3,403,4688,11178000,0,130285,0,0,225,,,3,100
270050,1,沃玛战士,100,3,374,4689,11178000,0,130285,0,0,225,,,3,100
270051,1,沃玛护卫,100,3,401,4527,11178000,0,130285,0,0,225,,,3,100
270052,1,钳虫,100,3,394,4516,27945000,0,217142,0,0,225,,,3,100
270053,1,邪恶钳虫,100,3,402,4534,27945000,0,217142,0,0,225,,,3,100
270054,5,触龙神,100,3,340,4603,100000,0,100,0,0,225,,,3,100
270055,1,蜈蚣,100,1,404,4640,100000,0,100,0,0,120,100,,1,100
270056,1,跳跳蜂,100,1,373,4525,27945000,0,217142,0,0,120,100,,1,100
270057,5,祖玛教主,100,3,370,4630,100000,0,100,0,0,225,,,3,100
270058,1,祖玛弓箭手,100,1,405,4698,100000,0,100,0,0,120,100,,1,100
270059,1,祖玛卫士,100,1,406,4700,100000,0,100,0,0,120,100,,1,100
270060,5,牛魔王,100,3,362,4683,100000,0,100,0,0,225,,,3,100
270061,1,牛魔战士,100,1,388,4512,46575000,0,542856,0,0,225,,,1,100
270062,1,牛魔法师,100,1,389,4679,46575000,0,542856,0,0,225,,,1,100
270063,1,牛魔祭司,100,1,400,4680,46575000,0,542856,0,0,225,,,1,100
270064,5,魔龙教主,100,3,361,4722,13113000,0,78615,0,0,225,,,3,100
270065,5,魔龙长老,100,3,265,4622,8742000,0,78615,0,0,225,,,3,100
270066,5,魔龙护法,100,3,209,4673,6556500,0,78615,0,0,225,,,3,100
270067,1,魔龙刀兵,100,1,206,4672,437100,0,39307,0,0,120,100,,1,100
270068,1,魔龙力士,100,1,207,4675,655650,0,39307,0,0,120,100,,1,100
270069,1,魔龙破甲兵,100,1,208,4676,874200,0,39307,0,0,120,100,,1,100
270070,5,魔龙教主,100,3,361,4722,6556500,0,39307,0,0,225,,,3,100
300001,4,飞龙将·12转,150,2,343,4716,507210000,0,145216,0,0,300,80,,2,100
310001,4,雪域魔王·3转,105,4,355,4691,9947735700,0,54868,0,0,245,120,,1,100
310002,4,阿修罗神·4转,110,8,357,4619,9947735700,0,63375,0,0,280,110,,3,100
310003,4,凛冬教主·5转,135,12,349,4612,9947735700,0,105910,0,0,280,120,,1,100
310004,4,铁血魔王·6转,145,12,365,4626,9947735700,0,122924,0,0,300,100,,1,100
310005,4,阿修罗神,135,8,357,4619,313417027,0,56781,0,0,280,110,,3,100
310006,4,铁血魔王,140,10,365,4626,1399026908,0,69541,0,0,300,100,,1,100
310007,4,白虎·5转,135,8,411,4731,1962934486,0,90125,0,0,280,150,,1,100
